"BillID","Major","MajorProb","Minor","MinorProb","Private"
"114-hr-4505",14,0.14,1401,0.57,0
"114-hr-4506",15,0.2,1525,0.31,0
"114-hr-4507",21,0.86,2103,0.88,0
"114-hr-4508",5,0.31,505,0.63,0
"114-hr-4509",20,0.21,2001,0.52,0
"114-hr-451",20,0.29,2002,0.49,0
"114-hr-4510",3,0.19,321,0.26,0
"114-hr-4511",20,0.23,2002,0.33,0
"114-hr-4512",99,0.36,9900,1,0
"114-hr-4513",3,0.79,333,0.59,0
"114-hr-4514",15,0.19,1525,0.3,0
"114-hr-4515",10,0.27,1002,0.79,0
"114-hr-4516",15,0.24,1501,0.39,0
"114-hr-4517",2,0.24,208,0.92,0
"114-hr-4518",18,0.71,1802,0.48,0
"114-hr-4519",16,0.9,1608,0.93,0
"114-hr-452",6,0.69,601,0.6,0
"114-hr-4520",20,0.7,2006,0.83,0
"114-hr-4521",15,0.19,1525,0.28,0
"114-hr-4522",15,0.25,1501,0.38,0
"114-hr-4523",16,0.8,1608,0.78,0
"114-hr-4524",3,0.35,302,0.28,0
"114-hr-4525",3,0.8,331,0.32,0
"114-hr-4526",15,0.18,1525,0.31,0
"114-hr-4527",16,0.63,1608,0.69,0
"114-hr-4528",15,0.2,1525,0.31,0
"114-hr-4529",13,0.6,1303,0.88,0
"114-hr-453",15,0.17,1525,0.3,0
"114-hr-4530",15,0.2,1525,0.29,0
"114-hr-4531",19,0.49,1921,0.76,0
"114-hr-4532",21,0.19,2103,0.33,0
"114-hr-4533",15,0.17,1525,0.28,0
"114-hr-4534",15,0.2,1525,0.31,0
"114-hr-4535",15,0.21,1525,0.31,0
"114-hr-4536",12,0.53,1207,0.64,0
"114-hr-4537",15,0.2,1525,0.31,0
"114-hr-4538",15,0.2,1525,0.31,0
"114-hr-4539",15,0.22,1502,0.23,0
"114-hr-454",16,0.74,1608,0.71,0
"114-hr-4540",15,0.25,1501,0.38,0
"114-hr-4541",6,0.89,601,0.57,0
"114-hr-4542",21,0.36,2104,0.65,0
"114-hr-4543",20,0.27,2002,0.52,0
"114-hr-4544",8,0.91,800,0.47,0
"114-hr-4545",21,0.36,2103,0.67,0
"114-hr-4546",13,0.56,1303,0.98,0
"114-hr-4547",20,0.23,2008,0.56,0
"114-hr-4548",20,0.46,2011,0.62,0
"114-hr-4549",15,0.41,1521,0.37,0
"114-hr-455",16,0.28,1615,0.88,0
"114-hr-4550",15,0.19,1525,0.31,0
"114-hr-4551",15,0.21,1525,0.29,0
"114-hr-4552",8,0.5,803,0.87,0
"114-hr-4553",3,0.69,302,0.33,0
"114-hr-4554",16,0.76,1612,0.58,0
"114-hr-4555",15,0.25,1525,0.52,0
"114-hr-4556",15,0.15,1501,0.29,0
"114-hr-4557",20,0.27,2002,0.78,0
"114-hr-4558",7,0.36,709,0.86,0
"114-hr-4559",19,0.45,1921,0.61,0
"114-hr-456",6,0.62,601,0.71,0
"114-hr-4560",15,0.16,1525,0.25,0
"114-hr-4561",3,0.22,331,0.34,0
"114-hr-4562",21,0.19,2103,0.36,0
"114-hr-4563",15,0.22,1525,0.3,0
"114-hr-4564",21,0.31,2101,0.49,0
"114-hr-4565",3,0.59,321,0.59,0
"114-hr-4566",15,0.2,1525,0.3,0
"114-hr-4567",3,0.87,333,0.64,0
"114-hr-4568",8,0.15,803,0.29,0
"114-hr-4569",3,0.78,333,0.62,0
"114-hr-457",15,0.16,1525,0.26,0
"114-hr-4570",20,0.43,2011,0.53,0
"114-hr-4571",12,0.47,1208,0.44,0
"114-hr-4572",5,0.62,502,0.82,0
"114-hr-4573",12,0.32,1207,0.38,0
"114-hr-4574",8,0.53,803,0.58,0
"114-hr-4575",15,0.63,1501,0.6,0
"114-hr-4576",4,0.35,408,0.51,0
"114-hr-4577",5,0.47,503,0.7,0
"114-hr-4578",8,0.51,803,0.85,0
"114-hr-4579",5,0.18,502,0.48,0
"114-hr-458",5,0.66,503,0.94,0
"114-hr-4580",19,0.2,1927,0.61,0
"114-hr-4581",15,0.31,1520,0.58,0
"114-hr-4582",15,0.18,1501,0.39,0
"114-hr-4583",8,0.73,800,0.3,0
"114-hr-4584",15,0.2,1525,0.31,0
"114-hr-4585",15,0.33,1525,0.37,0
"114-hr-4586",12,0.38,1201,0.55,0
"114-hr-4587",15,0.85,1521,0.7,0
"114-hr-4588",3,0.34,302,0.29,0
"114-hr-4589",3,0.64,302,0.44,0
"114-hr-459",8,0.83,800,0.57,0
"114-hr-4590",16,0.45,1608,0.4,0
"114-hr-4591",3,0.89,302,0.4,0
"114-hr-4592",20,0.45,2006,0.8,0
"114-hr-4593",5,0.58,503,0.7,0
"114-hr-4594",3,0.34,301,0.21,0
"114-hr-4595",4,0.23,408,0.55,0
"114-hr-4596",15,0.96,1521,1,0
"114-hr-4597",15,0.19,1525,0.26,0
"114-hr-4598",13,0.25,1303,0.65,0
"114-hr-4599",3,0.55,321,0.24,0
"114-hr-46",3,0.4,321,0.5,0
"114-hr-460",12,0.28,1203,0.32,0
"114-hr-4600",16,0.66,1608,0.69,0
"114-hr-4601",21,0.96,2103,0.89,0
"114-hr-4602",12,0.44,1201,0.28,0
"114-hr-4603",12,0.7,1210,0.38,0
"114-hr-4604",15,0.5,1525,0.56,0
"114-hr-4605",20,1,2008,1,0
"114-hr-4606",15,0.31,1525,0.27,0
"114-hr-4607",21,0.28,2104,0.6,0
"114-hr-4608",15,0.97,1521,0.93,0
"114-hr-4609",13,0.25,1303,0.64,0
"114-hr-461",15,0.2,1525,0.3,0
"114-hr-4610",21,0.66,2104,0.98,0
"114-hr-4611",12,0.21,1204,0.22,0
"114-hr-4612",99,0.35,9900,1,0
"114-hr-4613",15,0.2,1525,0.31,0
"114-hr-4614",3,0.83,302,0.43,0
"114-hr-4615",7,0.44,709,0.39,0
"114-hr-4616",12,0.21,1207,0.21,0
"114-hr-4617",13,0.82,1301,0.88,0
"114-hr-4618",20,1,2008,1,0
"114-hr-4619",15,0.24,1525,0.28,0
"114-hr-462",99,1,9900,1,1
"114-hr-4620",3,0.18,321,0.26,0
"114-hr-4621",3,0.83,301,0.28,0
"114-hr-4622",15,0.19,1525,0.31,0
"114-hr-4623",2,0.38,208,0.42,0
"114-hr-4624",8,0.22,803,0.92,0
"114-hr-4625",3,0.38,398,0.33,0
"114-hr-4626",15,0.2,1525,0.31,0
"114-hr-4627",3,0.34,302,0.29,0
"114-hr-4628",15,0.19,1525,0.35,0
"114-hr-4629",21,0.44,2102,0.61,0
"114-hr-463",15,0.2,1525,0.31,0
"114-hr-4630",15,0.19,1525,0.31,0
"114-hr-4631",15,0.2,1502,0.28,0
"114-hr-4632",3,0.39,331,0.51,0
"114-hr-4633",19,0.44,1921,0.87,0
"114-hr-4634",20,0.92,2003,0.68,0
"114-hr-4635",3,0.55,335,0.46,0
"114-hr-4636",8,0.31,802,0.55,0
"114-hr-4637",5,0.33,505,0.62,0
"114-hr-4638",15,0.2,1501,0.42,0
"114-hr-4639",15,0.2,1525,0.31,0
"114-hr-464",12,0.17,1204,0.26,0
"114-hr-4640",16,0.44,1608,0.7,0
"114-hr-4641",3,0.72,398,0.4,0
"114-hr-4642",3,0.56,331,0.63,0
"114-hr-4643",6,0.4,602,0.53,0
"114-hr-4644",15,0.2,1525,0.31,0
"114-hr-4645",7,0.62,700,0.52,0
"114-hr-4646",12,0.4,1204,0.79,0
"114-hr-4647",99,0.34,9900,1,0
"114-hr-4648",15,0.26,1525,0.19,0
"114-hr-4649",19,0.19,1921,0.86,0
"114-hr-465",13,0.21,1301,0.3,0
"114-hr-4650",3,0.88,322,0.3,0
"114-hr-4651",15,0.39,1502,0.7,0
"114-hr-4652",6,0.77,601,0.64,0
"114-hr-4653",3,0.21,301,0.36,0
"114-hr-4654",15,0.14,1501,0.26,0
"114-hr-4655",15,0.73,1523,0.7,0
"114-hr-4656",20,0.31,2003,0.45,0
"114-hr-4657",16,0.38,1615,0.56,0
"114-hr-4658",16,0.84,1612,0.65,0
"114-hr-4659",99,1,9900,1,1
"114-hr-466",16,0.72,1603,0.81,0
"114-hr-4660",16,0.49,1608,0.74,0
"114-hr-4661",15,0.28,1504,0.36,0
"114-hr-4662",7,0.21,709,0.39,0
"114-hr-4663",15,0.17,1525,0.27,0
"114-hr-4664",19,0.58,1921,0.76,0
"114-hr-4665",15,0.2,1525,0.31,0
"114-hr-4666",6,0.57,601,0.74,0
"114-hr-4667",21,0.6,2104,0.48,0
"114-hr-4668",20,0.24,2004,0.41,0
"114-hr-4669",3,0.18,321,0.27,0
"114-hr-467",15,0.16,1525,0.28,0
"114-hr-4670",21,0.79,2101,0.83,0
"114-hr-4671",15,0.88,1521,0.89,0
"114-hr-4672",8,0.9,803,0.92,0
"114-hr-4673",15,0.2,1525,0.31,0
"114-hr-4674",15,0.17,1525,0.25,0
"114-hr-4675",7,0.32,705,0.63,0
"114-hr-4676",12,0.4,1211,0.23,0
"114-hr-4677",20,0.33,2002,0.45,0
"114-hr-4678",16,0.31,1619,0.36,0
"114-hr-4679",15,0.2,1525,0.3,0
"114-hr-468",12,0.53,1206,0.3,0
"114-hr-4680",21,0.63,2101,0.92,0
"114-hr-4681",7,0.29,709,0.58,0
"114-hr-4682",15,0.2,1525,0.31,0
"114-hr-4683",16,0.48,1608,0.78,0
"114-hr-4684",16,0.39,1608,0.69,0
"114-hr-4685",21,0.8,2102,0.86,0
"114-hr-4686",21,0.79,2104,0.92,0
"114-hr-4687",5,0.6,502,0.67,0
"114-hr-4688",7,0.51,709,0.73,0
"114-hr-4689",3,0.59,302,0.36,0
"114-hr-469",12,0.64,1207,0.55,0
"114-hr-4690",21,0.19,2104,0.4,0
"114-hr-4691",3,0.16,331,0.31,0
"114-hr-4692",12,0.38,1201,0.55,0
"114-hr-4693",12,0.3,1208,0.63,0
"114-hr-4694",14,0.75,1400,0.45,0
"114-hr-4695",3,0.71,301,0.41,0
"114-hr-4696",20,0.23,2002,0.43,0
"114-hr-4697",3,0.56,321,0.41,0
"114-hr-4698",10,0.42,1003,0.72,0
"114-hr-4699",12,0.15,1208,0.36,0
"114-hr-47",12,0.5,1209,0.82,0
"114-hr-470",21,0.94,2103,0.83,0
"114-hr-4700",20,0.7,2006,0.83,0
"114-hr-4701",21,0.29,2101,0.79,0
"114-hr-4702",20,0.36,2002,0.34,0
"114-hr-4703",12,0.72,1201,0.37,0
"114-hr-4704",17,0.21,1709,0.45,0
"114-hr-4705",15,0.16,1525,0.26,0
"114-hr-4706",15,0.17,1501,0.33,0
"114-hr-4707",14,0.66,1406,0.43,0
"114-hr-4708",3,0.59,302,0.36,0
"114-hr-4709",15,0.2,1525,0.31,0
"114-hr-471",3,0.68,321,0.51,0
"114-hr-4710",12,0.17,1204,0.27,0
"114-hr-4711",15,0.56,1523,0.94,0
"114-hr-4712",16,0.89,1615,0.96,0
"114-hr-4713",15,0.24,1525,0.52,0
"114-hr-4714",3,0.23,398,0.83,0
"114-hr-4715",12,0.22,1207,0.22,0
"114-hr-4716",15,0.2,1525,0.31,0
"114-hr-4717",3,0.12,342,0.31,0
"114-hr-4718",15,0.29,1520,0.58,0
"114-hr-4719",15,0.2,1525,0.32,0
"114-hr-472",12,0.24,1201,0.36,0
"114-hr-4720",13,0.16,1303,0.34,0
"114-hr-4721",10,0.44,1003,0.85,0
"114-hr-4722",12,0.24,1208,0.66,0
"114-hr-4723",12,0.17,1207,0.21,0
"114-hr-4724",20,0.36,2002,0.58,0
"114-hr-4725",15,0.16,1501,0.39,0
"114-hr-4726",9,0.26,900,1,0
"114-hr-4727",8,0.82,800,0.5,0
"114-hr-4728",15,0.2,1525,0.31,0
"114-hr-4729",20,0.44,2004,0.39,0
"114-hr-473",16,0.49,1608,0.71,0
"114-hr-4730",15,0.23,1501,0.38,0
"114-hr-4731",9,0.17,900,1,0
"114-hr-4732",3,0.63,322,0.39,0
"114-hr-4733",20,0.72,2008,0.36,0
"114-hr-4734",20,0.99,2012,1,0
"114-hr-4735",20,0.14,2002,0.58,0
"114-hr-4736",7,0.71,711,0.59,0
"114-hr-4737",20,0.19,2001,0.39,0
"114-hr-4738",15,0.2,1523,0.28,0
"114-hr-4739",12,0.21,1204,0.18,0
"114-hr-474",16,0.41,1608,0.76,0
"114-hr-4740",12,0.23,1201,0.32,0
"114-hr-4741",15,0.18,1525,0.29,0
"114-hr-4742",15,0.19,1501,0.26,0
"114-hr-4743",21,0.49,2101,0.81,0
"114-hr-4744",21,0.15,2102,0.6,0
"114-hr-4745",20,0.18,2002,0.51,0
"114-hr-4746",20,0.26,2002,0.37,0
"114-hr-4747",20,0.99,2008,1,0
"114-hr-4748",12,0.7,1201,0.74,0
"114-hr-4749",15,0.19,1525,0.31,0
"114-hr-475",20,0.16,2002,0.57,0
"114-hr-4750",16,0.66,1608,0.74,0
"114-hr-4751",21,0.79,2103,0.81,0
"114-hr-4752",17,0.24,1701,0.55,0
"114-hr-4753",14,0.71,1406,0.4,0
"114-hr-4754",15,0.5,1523,0.64,0
"114-hr-4755",17,0.21,1701,0.39,0
"114-hr-4756",3,0.26,331,0.26,0
"114-hr-4757",16,0.92,1609,0.43,0
"114-hr-4758",16,0.86,1612,0.68,0
"114-hr-4759",16,0.7,1608,0.72,0
"114-hr-476",6,0.93,601,0.39,0
"114-hr-4760",15,0.18,1525,0.31,0
"114-hr-4761",20,1,2008,1,0
"114-hr-4762",15,0.2,1525,0.31,0
"114-hr-4763",5,0.23,505,0.51,0
"114-hr-4764",19,0.29,1921,0.72,0
"114-hr-4765",12,0.21,1201,0.66,0
"114-hr-4766",20,0.84,2006,0.93,0
"114-hr-4767",12,0.26,1201,0.2,0
"114-hr-4768",8,0.28,802,0.53,0
"114-hr-4769",10,0.29,1002,0.8,0
"114-hr-477",21,0.68,2101,0.84,0
"114-hr-4770",1,0.43,108,0.6,0
"114-hr-4771",3,0.7,302,0.26,0
"114-hr-4772",12,0.36,1201,0.28,0
"114-hr-4773",12,0.19,1207,0.21,0
"114-hr-4774",15,0.15,1525,0.29,0
"114-hr-4775",15,0.23,1525,0.31,0
"114-hr-4776",21,0.46,2101,0.75,0
"114-hr-4777",20,1,2008,1,0
"114-hr-4778",7,0.13,709,0.54,0
"114-hr-4779",8,0.51,803,0.97,0
"114-hr-478",12,0.5,1207,0.64,0
"114-hr-4780",16,0.77,1615,0.96,0
"114-hr-4781",15,0.25,1501,0.38,0
"114-hr-4782",16,0.44,1608,0.74,0
"114-hr-4783",15,0.96,1521,0.94,0
"114-hr-4784",3,0.54,321,0.56,0
"114-hr-4785",15,0.18,1501,0.39,0
"114-hr-4786",6,0.14,601,0.44,0
"114-hr-4787",15,0.2,1525,0.31,0
"114-hr-4788",15,0.97,1521,0.99,0
"114-hr-4789",21,0.62,2101,0.77,0
"114-hr-479",13,0.25,1303,0.65,0
"114-hr-4790",15,0.19,1525,0.29,0
"114-hr-4791",15,0.2,1525,0.31,0
"114-hr-4792",15,0.66,1502,1,0
"114-hr-4793",21,0.9,2103,0.8,0
"114-hr-4794",15,0.56,1501,0.6,0
"114-hr-4795",15,0.16,1525,0.25,0
"114-hr-4796",16,0.62,1608,0.7,0
"114-hr-4797",15,0.2,1525,0.38,0
"114-hr-4798",13,0.17,1303,0.34,0
"114-hr-4799",5,0.23,502,0.46,0
"114-hr-48",19,0.48,1921,0.37,0
"114-hr-480",14,0.54,1400,0.34,0
"114-hr-4800",21,0.98,2101,0.64,0
"114-hr-4801",3,0.53,321,0.31,0
"114-hr-4802",3,0.39,301,0.24,0
"114-hr-4803",12,0.21,1208,0.47,0
"114-hr-4804",6,0.8,602,0.84,0
"114-hr-4805",3,0.56,321,0.2,0
"114-hr-4806",15,0.21,1525,0.35,0
"114-hr-4807",3,0.94,301,0.53,0
"114-hr-4808",15,0.2,1525,0.3,0
"114-hr-4809",16,0.49,1603,0.62,0
"114-hr-481",5,0.63,503,0.68,0
"114-hr-4810",16,0.29,1615,0.57,0
"114-hr-4811",7,0.18,709,0.52,0
"114-hr-4812",20,0.77,2011,0.56,0
"114-hr-4813",15,0.17,1525,0.3,0
"114-hr-4814",1,0.54,105,0.86,0
"114-hr-4815",19,0.71,1921,0.98,0
"114-hr-4816",14,0.51,1406,0.69,0
"114-hr-4817",21,0.9,2101,0.96,0
"114-hr-4818",10,0.19,1002,0.53,0
"114-hr-4819",3,0.74,325,0.44,0
"114-hr-482",21,0.97,2101,0.97,0
"114-hr-4820",19,0.19,1927,0.7,0
"114-hr-4821",5,0.23,503,0.56,0
"114-hr-4822",5,0.44,503,0.85,0
"114-hr-4823",20,0.25,2001,0.54,0
"114-hr-4824",7,0.21,709,0.69,0
"114-hr-4825",16,0.65,1608,0.37,0
"114-hr-4826",8,0.86,800,0.62,0
"114-hr-4827",10,0.3,1002,0.92,0
"114-hr-4828",12,0.22,1207,0.21,0
"114-hr-4829",18,0.56,1802,0.56,0
"114-hr-483",16,0.51,1608,0.84,0
"114-hr-4830",19,0.23,1921,0.58,0
"114-hr-4831",15,0.48,1520,0.44,0
"114-hr-4832",3,0.62,301,0.26,0
"114-hr-4833",4,0.33,403,0.59,0
"114-hr-4834",15,0.2,1501,0.73,0
"114-hr-4835",1,0.4,107,0.91,0
"114-hr-4836",19,0.71,1906,0.66,0
"114-hr-4837",16,0.54,1608,0.78,0
"114-hr-4838",1,0.58,107,0.79,0
"114-hr-4839",12,0.22,1207,0.21,0
"114-hr-484",20,0.18,2002,0.62,0
"114-hr-4840",12,0.32,1210,0.26,0
"114-hr-4841",15,0.16,1501,0.39,0
"114-hr-4842",5,0.36,503,0.51,0
"114-hr-4843",3,0.69,332,0.24,0
"114-hr-4844",15,0.31,1525,0.37,0
"114-hr-4845",6,0.51,601,0.82,0
"114-hr-4846",12,0.6,1208,0.98,0
"114-hr-4847",9,0.57,900,1,0
"114-hr-4848",15,0.17,1525,0.25,0
"114-hr-4849",13,0.51,1301,0.82,0
"114-hr-485",20,0.61,2004,0.93,0
"114-hr-4850",21,0.2,2103,0.34,0
"114-hr-4851",15,0.22,1525,0.29,0
"114-hr-4852",15,0.13,1501,0.24,0
"114-hr-4853",15,0.18,1525,0.29,0
"114-hr-4854",19,0.14,1921,0.64,0
"114-hr-4855",15,0.2,1525,0.31,0
"114-hr-4856",9,0.67,900,1,0
"114-hr-4857",15,0.16,1501,0.37,0
"114-hr-4858",21,0.57,2103,0.39,0
"114-hr-4859",21,0.38,2103,0.36,0
"114-hr-486",5,0.21,502,0.47,0
"114-hr-4860",19,0.29,1921,0.9,0
"114-hr-4861",12,0.31,1203,0.44,0
"114-hr-4862",21,0.54,2104,0.86,0
"114-hr-4863",20,0.7,2006,0.83,0
"114-hr-4864",8,0.28,802,0.55,0
"114-hr-4865",6,0.15,601,0.55,0
"114-hr-4866",15,0.69,1523,0.75,0
"114-hr-4867",99,0.32,9900,1,0
"114-hr-4868",15,0.47,1504,0.38,0
"114-hr-4869",20,0.16,2002,0.55,0
"114-hr-487",21,0.99,2102,0.79,0
"114-hr-4870",5,0.23,502,0.55,0
"114-hr-4871",21,0.79,2101,0.81,0
"114-hr-4872",15,0.16,1501,0.39,0
"114-hr-4873",15,0.2,1525,0.3,0
"114-hr-4874",12,0.28,1207,0.23,0
"114-hr-4875",19,0.3,1921,0.89,0
"114-hr-4876",3,0.83,342,0.39,0
"114-hr-4877",20,0.92,2008,1,0
"114-hr-4878",3,0.69,302,0.33,0
"114-hr-4879",15,0.17,1525,0.36,0
"114-hr-488",21,0.99,2101,0.95,0
"114-hr-4880",12,0.21,1207,0.2,0
"114-hr-4881",4,0.38,403,0.59,0
"114-hr-4882",21,0.93,2101,0.96,0
"114-hr-4883",19,0.55,1900,0.63,0
"114-hr-4884",12,0.29,1203,0.41,0
"114-hr-4885",1,0.27,105,0.77,0
"114-hr-4886",15,0.24,1502,0.62,0
"114-hr-4887",20,1,2008,1,0
"114-hr-4888",12,0.21,1204,0.24,0
"114-hr-4889",20,0.18,2002,0.49,0
"114-hr-489",12,0.21,1207,0.2,0
"114-hr-4890",20,0.79,2009,0.79,0
"114-hr-4891",21,0.24,2103,0.35,0
"114-hr-4892",16,0.79,1608,0.94,0
"114-hr-4893",7,0.27,709,0.5,0
"114-hr-4894",15,0.94,1501,0.8,0
"114-hr-4895",13,0.21,1303,0.71,0
"114-hr-4896",15,0.6,1505,0.61,0
"114-hr-4897",17,0.25,1709,0.46,0
"114-hr-4898",19,0.4,1921,0.95,0
"114-hr-4899",2,0.25,208,0.33,0
"114-hr-49",1,0.97,105,1,0
"114-hr-490",15,0.29,1502,0.6,0
"114-hr-4900",20,0.5,2002,0.6,0
"114-hr-4901",6,0.35,601,0.72,0
"114-hr-4902",20,0.41,2004,0.81,0
"114-hr-4903",2,0.46,207,0.62,0
"114-hr-4904",20,0.54,2002,0.81,0
"114-hr-4905",12,0.24,1201,0.32,0
"114-hr-4906",21,0.56,2103,0.79,0
"114-hr-4907",15,0.2,1525,0.32,0
"114-hr-4908",14,0.75,1406,0.43,0
"114-hr-4909",16,0.76,1600,0.52,0
"114-hr-491",2,0.36,208,0.99,0
"114-hr-4910",20,0.67,2030,0.29,0
"114-hr-4911",10,0.31,1002,0.79,0
"114-hr-4912",12,0.21,1207,0.2,0
"114-hr-4913",14,0.66,1400,0.43,0
"114-hr-4914",15,0.18,1525,0.29,0
"114-hr-4915",21,0.65,2101,0.96,0
"114-hr-4916",3,0.94,302,0.51,0
"114-hr-4917",15,0.2,1502,0.27,0
"114-hr-4918",3,0.91,321,0.33,0
"114-hr-4919",12,0.38,1201,0.55,0
"114-hr-492",2,0.31,208,0.98,0
"114-hr-4920",99,1,9900,1,1
"114-hr-4921",15,0.2,1525,0.31,0
"114-hr-4922",16,0.45,1615,0.61,0
"114-hr-4923",13,0.27,1303,0.63,0
"114-hr-4924",15,0.2,1525,0.31,0
"114-hr-4925",20,1,2008,1,0
"114-hr-4926",20,0.46,2011,0.71,0
"114-hr-4927",20,0.52,2002,0.5,0
"114-hr-4928",12,0.77,1209,0.5,0
"114-hr-4929",8,0.94,800,0.47,0
"114-hr-493",8,0.77,800,0.41,0
"114-hr-4930",10,0.78,1007,0.38,0
"114-hr-4931",3,0.28,321,0.48,0
"114-hr-4932",15,0.89,1525,0.68,0
"114-hr-4933",99,0.27,9900,1,0
"114-hr-4934",1,0.42,107,0.86,0
"114-hr-4935",5,0.44,503,0.55,0
"114-hr-4936",5,0.19,502,0.54,0
"114-hr-4937",15,0.2,1525,0.31,0
"114-hr-4938",15,0.19,1525,0.29,0
"114-hr-4939",19,0.36,1921,0.84,0
"114-hr-494",3,0.67,302,0.64,0
"114-hr-4940",16,0.43,1603,0.61,0
"114-hr-4941",6,0.56,601,0.98,0
"114-hr-4942",15,0.19,1525,0.31,0
"114-hr-4943",1,0.55,107,0.8,0
"114-hr-4944",21,1,2101,0.99,0
"114-hr-4945",13,0.25,1303,0.65,0
"114-hr-4946",15,0.2,1525,0.31,0
"114-hr-4947",15,0.56,1523,0.81,0
"114-hr-4948",15,0.19,1525,0.29,0
"114-hr-4949",6,0.55,601,0.58,0
"114-hr-495",6,0.38,602,0.37,0
"114-hr-4950",15,0.67,1501,0.66,0
"114-hr-4951",12,0.86,1209,0.53,0
"114-hr-4952",12,0.6,1209,0.51,0
"114-hr-4953",20,0.21,2002,0.36,0
"114-hr-4954",7,0.46,701,0.56,0
"114-hr-4955",1,0.57,105,0.87,0
"114-hr-4956",20,0.37,2002,0.41,0
"114-hr-4957",20,0.98,2008,0.9,0
"114-hr-4958",8,0.76,803,0.68,0
"114-hr-4959",3,0.19,321,0.28,0
"114-hr-496",21,0.65,2101,0.83,0
"114-hr-4960",20,1,2008,1,0
"114-hr-4961",15,0.37,1523,0.68,0
"114-hr-4962",1,0.44,107,0.87,0
"114-hr-4963",12,0.31,1207,0.25,0
"114-hr-4964",8,0.76,800,0.41,0
"114-hr-4965",7,0.3,705,0.42,0
"114-hr-4966",3,0.45,301,0.33,0
"114-hr-4967",13,0.27,1301,0.82,0
"114-hr-4968",20,0.37,2008,0.63,0
"114-hr-4969",15,0.2,1525,0.31,0
"114-hr-497",6,0.43,602,0.56,0
"114-hr-4970",15,0.24,1502,0.55,0
"114-hr-4971",15,0.2,1525,0.31,0
"114-hr-4972",12,0.25,1210,0.42,0
"114-hr-4973",13,0.44,1303,0.89,0
"114-hr-4974",16,0.75,1608,0.53,0
"114-hr-4975",20,1,2008,1,0
"114-hr-4976",10,0.16,1002,0.51,0
"114-hr-4977",15,0.24,1501,0.38,0
"114-hr-4978",15,0.17,1525,0.3,0
"114-hr-4979",8,0.21,801,0.51,0
"114-hr-498",16,0.5,1608,0.81,0
"114-hr-4980",12,0.73,1209,0.41,0
"114-hr-4981",3,0.21,342,0.19,0
"114-hr-4982",3,0.23,342,0.18,0
"114-hr-4983",21,0.62,2102,0.76,0
"114-hr-4984",16,0.6,1611,0.38,0
"114-hr-4985",21,0.22,2101,0.42,0
"114-hr-4986",14,0.75,1400,0.45,0
"114-hr-4987",20,1,2008,0.99,0
"114-hr-4988",13,0.72,1303,0.96,0
"114-hr-4989",3,0.44,302,0.65,0
"114-hr-499",21,0.43,2104,0.81,0
"114-hr-4990",20,0.16,2002,0.54,0
"114-hr-4991",3,0.75,331,0.28,0
"114-hr-4992",15,0.3,1501,0.41,0
"114-hr-4993",2,0.56,208,0.98,0
"114-hr-4994",16,0.39,1608,0.73,0
"114-hr-4995",19,0.43,1921,0.72,0
"114-hr-4996",1,0.63,107,0.89,0
"114-hr-4997",15,0.76,1504,0.95,0
"114-hr-4998",8,0.2,801,0.73,0
"114-hr-4999",16,0.72,1616,0.22,0
"114-hr-5",6,0.67,601,0.7,0
"114-hr-50",2,0.29,208,0.9,0
"114-hr-500",12,0.29,1203,0.31,0
"114-hr-5000",5,0.48,503,0.67,0
"114-hr-5001",3,0.77,301,0.26,0
"114-hr-5002",21,0.19,2101,0.52,0
"114-hr-5003",6,0.72,602,0.56,0
"114-hr-5004",1,0.4,107,0.86,0
"114-hr-5005",20,0.5,2011,0.63,0
"114-hr-5006",9,0.28,900,1,0
"114-hr-5007",15,0.2,1525,0.28,0
"114-hr-5008",5,0.52,503,0.5,0
"114-hr-5009",3,0.48,321,0.3,0
"114-hr-501",14,0.49,1407,0.47,0
"114-hr-5010",15,0.57,1504,0.61,0
"114-hr-5011",20,1,2008,1,0
"114-hr-5012",9,0.55,900,1,0
"114-hr-5013",7,0.53,701,0.79,0
"114-hr-5014",21,0.19,2102,0.63,0
"114-hr-5015",16,0.4,1608,0.68,0
"114-hr-5016",15,0.57,1501,0.44,0
"114-hr-5017",15,0.23,1525,0.27,0
"114-hr-5018",12,0.36,1207,0.35,0
"114-hr-5019",3,0.28,398,0.81,0
"114-hr-502",3,0.52,301,0.38,0
"114-hr-5020",3,0.53,321,0.52,0
"114-hr-5021",3,0.3,302,0.33,0
"114-hr-5022",15,0.14,1525,0.25,0
"114-hr-5023",15,0.49,1504,0.4,0
"114-hr-5024",7,0.61,705,0.97,0
"114-hr-5025",1,0.5,107,0.74,0
"114-hr-5026",12,0.37,1201,0.28,0
"114-hr-5027",15,0.42,1501,0.92,0
"114-hr-5028",20,1,2008,1,0
"114-hr-5029",15,0.92,1521,0.86,0
"114-hr-503",19,0.19,1927,0.64,0
"114-hr-5030",21,0.87,2103,0.9,0
"114-hr-5031",20,0.55,2002,0.61,0
"114-hr-5032",7,0.46,701,0.53,0
"114-hr-5033",15,0.22,1501,0.35,0
"114-hr-5034",12,0.66,1209,0.5,0
"114-hr-5035",9,0.73,900,1,0
"114-hr-5036",13,0.27,1304,0.52,0
"114-hr-5037",20,0.44,2014,0.87,0
"114-hr-5038",1,0.64,107,0.78,0
"114-hr-5039",1,0.59,107,0.86,0
"114-hr-504",8,0.82,807,0.47,0
