"BillID","Major","MajorProb","Minor","MinorProb","Private"
"113-hr-1000",5,0.42,502,0.58,0
"113-hr-1001",5,0.76,505,0.93,0
"113-hr-1002",15,0.57,1504,0.61,0
"113-hr-1003",15,0.45,1502,0.88,0
"113-hr-1004",21,0.9,2101,0.94,0
"113-hr-1005",15,0.2,1525,0.31,0
"113-hr-1006",20,0.5,2003,0.42,0
"113-hr-1007",6,0.68,602,0.83,0
"113-hr-1008",15,0.2,1525,0.31,0
"113-hr-1009",15,0.14,1523,0.69,0
"113-hr-101",15,0.38,1504,0.72,0
"113-hr-1010",5,0.35,505,0.72,0
"113-hr-1011",8,0.97,803,1,0
"113-hr-1012",10,0.23,1002,0.92,0
"113-hr-1013",1,0.42,105,0.92,0
"113-hr-1014",1,0.82,105,0.99,0
"113-hr-1015",3,0.44,331,0.42,0
"113-hr-1016",20,0.34,2002,0.44,0
"113-hr-1017",21,0.86,2103,0.61,0
"113-hr-1018",21,0.77,2105,0.98,0
"113-hr-1019",3,0.7,302,0.66,0
"113-hr-102",3,0.56,301,0.36,0
"113-hr-1020",20,0.24,2002,0.79,0
"113-hr-1021",21,0.81,2103,0.47,0
"113-hr-1022",8,0.85,800,0.5,0
"113-hr-1023",99,1,9900,1,1
"113-hr-1024",3,0.52,321,0.28,0
"113-hr-1025",21,0.49,2101,0.52,0
"113-hr-1026",10,0.53,1002,0.88,0
"113-hr-1027",17,0.15,1709,0.43,0
"113-hr-1028",20,0.18,2002,0.43,0
"113-hr-1029",13,0.5,1303,0.93,0
"113-hr-103",20,0.26,2000,0.33,0
"113-hr-1030",15,0.73,1525,0.64,0
"113-hr-1031",13,0.55,1303,0.99,0
"113-hr-1032",6,0.34,601,0.91,0
"113-hr-1033",13,0.23,1303,0.63,0
"113-hr-1034",21,0.53,2101,0.42,0
"113-hr-1035",15,0.89,1523,0.97,0
"113-hr-1036",20,0.62,2008,0.99,0
"113-hr-1037",3,0.57,333,0.63,0
"113-hr-1038",8,0.21,802,0.52,0
"113-hr-1039",19,0.5,1921,0.49,0
"113-hr-104",20,0.22,2002,0.42,0
"113-hr-1040",1,0.6,107,0.86,0
"113-hr-1041",15,0.2,1525,0.31,0
"113-hr-1042",18,1,1807,1,0
"113-hr-1043",18,1,1807,1,0
"113-hr-1044",18,1,1807,1,0
"113-hr-1045",18,1,1807,1,0
"113-hr-1046",18,1,1807,1,0
"113-hr-1047",18,1,1807,1,0
"113-hr-1048",18,1,1807,1,0
"113-hr-1049",18,1,1807,1,0
"113-hr-105",15,0.17,1525,0.3,0
"113-hr-1050",18,1,1807,1,0
"113-hr-1051",18,1,1807,1,0
"113-hr-1052",18,1,1807,1,0
"113-hr-1053",18,1,1807,1,0
"113-hr-1054",18,1,1807,1,0
"113-hr-1055",18,1,1807,1,0
"113-hr-1056",18,1,1807,1,0
"113-hr-1057",18,1,1807,1,0
"113-hr-1058",18,1,1807,1,0
"113-hr-1059",18,1,1807,1,0
"113-hr-106",1,0.55,105,0.89,0
"113-hr-1060",18,1,1807,1,0
"113-hr-1061",18,0.99,1807,1,0
"113-hr-1062",20,0.27,2002,0.84,0
"113-hr-1063",21,0.48,2103,0.58,0
"113-hr-1064",21,0.36,2101,0.73,0
"113-hr-1065",20,0.25,2001,0.54,0
"113-hr-1066",21,0.85,2102,0.97,0
"113-hr-1067",12,0.5,1210,0.75,0
